price,price_per_sqft,area,bedRoom,bathroom,floorNum
0.18,4000.0,450.0,2,1,1.0
3.6,14815.0,2430.0,4,4,2.0
5.8,12837.0,4518.0,4,4,4.0
17.0,37627.0,4518.0,5,5,2.0
4.0,17817.0,2245.0,7,7,4.0
9.25,39530.0,2340.0,12,12,4.0
11.0,27160.0,4050.0,5,6,3.0
20.0,44444.0,4500.0,5,7,3.0
3.4,22222.0,1530.0,6,6,2.0
6.5,27461.0,2367.0,12,12,4.0
19.0,42222.0,4500.0,6,8,3.0
4.75,28787.0,1650.0,3,3,2.0
1.0,8230.0,1215.0,9,7,3.0
12.5,51440.0,2430.0,16,17,4.0
0.8,10484.0,763.0,1,1,1.0
1.0,8796.0,1137.0,3,2,1.0
9.35,28858.0,3240.0,10,10,4.0
1.8,21875.0,823.0,1,1,3.0
0.65,13000.0,500.0,2,1,3.0
3.69,23699.0,1557.0,4,4,2.0
0.99,17187.0,576.0,4,4,4.0
0.85,126865.0,67.0,5,2,1.0
9.5,42222.0,2250.0,5,5,2.0
6.8,20988.0,3240.0,4,4,3.0
6.15,27333.0,2250.0,5,5,3.0
0.75,12500.0,600.0,3,5,3.0
2.98,20566.0,1449.0,6,6,3.0
16.0,37778.0,4235.0,4,4,1.0
1.35,40909.0,330.0,4,5,3.0
3.5,14787.0,2367.0,5,4,2.0
12.5,38580.0,3240.0,5,5,2.0
0.6,105263.0,57.0,3,3,2.0
12.25,20940.0,5850.0,5,7,1.0
1.2,4444.0,2700.0,7,3,3.0
5.5,30556.0,1800.0,4,4,2.0
10.5,29022.0,3618.0,5,5,3.0
0.5,90909.0,55.0,12,4,4.0
1.6,28674.0,558.0,4,6,3.0
5.5,23061.0,2385.0,8,8,3.0
3.75,23148.0,1620.0,3,4,2.0
3.5,133079.0,263.0,8,8,3.0
3.25,8125.0,4000.0,4,3,20.0
1.44,26667.0,540.0,4,2,1.0
3.5,20323.0,1722.0,3,2,1.0
6.8,31481.0,2160.0,4,4,2.0
4.35,7937.0,5481.0,4,4,2.0
7.0,32407.0,2160.0,3,2,1.0
5.2,10000.0,5200.0,4,5,1.0
0.85,14166.0,600.0,5,5,4.0
2.01,13000.0,1546.0,3,3,4.0
2.2,24202.0,909.0,3,3,3.0
1.0,79365.0,126.0,2,2,0.0
5.5,23504.0,2340.0,4,4,2.0
6.5,36111.0,1800.0,4,3,3.0
13.0,48148.0,2700.0,3,3,4.0
5.88,27222.0,2160.0,9,9,3.0
2.7,18620.0,1450.0,5,5,3.0
0.65,5777.0,1125.0,2,2,1.0
6.5,12037.0,5400.0,4,4,1.0
6.95,15444.0,4500.0,4,4,2.0
8.7,38667.0,2250.0,4,5,3.0
8.0,9654.0,8287.0,10,10,4.0
6.0,24691.0,2430.0,5,6,3.0
6.0,33333.0,1800.0,8,5,3.0
0.58,10591.0,548.0,2,3,2.0
13.0,48148.0,2700.0,12,16,4.0
1.6,29630.0,540.0,7,5,4.0
5.0,22222.0,2250.0,3,3,1.0
3.0,19268.0,1557.0,6,4,3.0
2.2,6875.0,3200.0,12,12,6.0
9.0,19231.0,4680.0,5,5,2.0
6.75,10838.0,6228.0,4,4,2.0
4.0,22222.0,1800.0,9,9,2.0
5.5,1087.0,50598.0,8,8,3.0
4.0,6666.0,6001.0,4,4,2.0
9.54,29444.0,3240.0,6,5,3.0
2.0,11111.0,1800.0,2,2,2.0
15.0,33333.0,4500.0,4,4,3.0
0.6,11102.0,540.0,8,4,3.0
7.25,201388.0,360.0,4,4,2.0
0.74,7400.0,1000.0,3,3,2.0
7.0,12963.0,5400.0,4,4,2.0
8.6,12285.0,7000.0,4,5,3.0
0.22,7407.0,297.0,2,2,1.0
0.9,11250.0,800.0,5,5,3.0
0.4,7619.0,525.0,2,2,1.0
6.5,36111.0,1800.0,4,4,2.0
0.92,7750.0,1187.0,2,3,3.0
2.58,17695.0,1458.0,4,2,2.0
3.0,53763.0,558.0,12,12,5.0
5.5,21825.0,2520.0,8,8,3.0
6.0,22222.0,2700.0,5,4,3.0
6.3,35000.0,1800.0,4,4,2.0
27.5,24366.0,11286.0,6,7,3.0
6.5,27871.0,2332.0,4,4,2.0
6.75,19737.0,3420.0,5,4,2.0
14.0,62222.0,2250.0,4,5,2.0
3.7,25535.0,1449.0,8,8,4.0
6.3,9000.0,7000.0,4,5,2.0
1.7,7870.0,2160.0,3,3,4.0
6.75,31915.0,2115.0,12,12,3.0
0.38,76000.0,50.0,2,2,1.0
1.5,6289.0,2385.0,3,3,1.0
5.75,29716.0,1935.0,4,4,2.0
10.0,122222.0,818.0,4,4,1.0
25.0,31111.0,8036.0,4,4,2.0
2.25,6944.0,3240.0,36,36,3.0
0.75,138888.0,54.0,2,1,1.0
5.0,21124.0,2367.0,9,9,3.0
4.95,20599.0,2403.0,7,7,2.0
8.95,17900.0,5000.0,5,6,4.0
4.5,33333.0,1350.0,5,5,2.0
7.85,29074.0,2700.0,9,9,3.0
2.3,17037.0,1350.0,5,3,3.0
4.25,17955.0,2367.0,4,3,1.0
8.0,17778.0,4500.0,6,5,4.0
10.0,27778.0,3600.0,4,5,2.0
4.3,29311.0,1467.0,6,4,2.0
8.5,13492.0,6300.0,5,6,10.0
18.02,28200.0,6390.0,9,12,3.0
0.5,8333.0,600.0,3,3,2.0
5.0,16244.0,3078.0,4,4,2.0
3.35,26973.0,1242.0,1,1,1.0
0.47,10601.0,443.0,2,2,2.0
0.45,8007.0,562.0,3,2,1.0
7.42,34351.0,2160.0,4,4,2.0
0.58,10610.0,547.0,2,3,2.0
5.65,10463.0,5400.0,4,4,2.0
8.25,30556.0,2700.0,5,6,3.0
0.8,6666.0,1200.0,8,8,1.0
0.55,7290.0,754.0,2,1,1.0
0.75,10067.0,745.0,2,2,11.0
1.5,11538.0,1300.0,10,7,4.0
0.45,8411.0,535.0,3,2,1.0
11.0,33951.0,3240.0,5,6,2.0
3.5,24306.0,1440.0,3,3,1.0
9.01,16066.0,5608.0,4,4,3.0
7.25,27971.0,2592.0,3,4,2.0
1.07,11888.0,900.0,2,2,1.0
2.8,22075.0,1268.0,3,3,2.0
6.25,10035.0,6228.0,5,7,3.0
6.0,22222.0,2700.0,4,5,2.0
